Matilde Rubio Bonilla,953008920
Jennifer Archuleta Merino,938438588
María de los Ángeles Ponce Ledesma,962 498 823
Laura Deleón Nevárez,964 630 293
Anni Aguilera Lucero,921.036.247
Laura Caballero Araña,992-117-274
Roser Corrales Atencio,960.382.791
Anni Campos Delarosa,983.122.379
Andrea Laboy Corrales,975.850.611
Lorena Viera Loya,993.649.002
Pío Uribe Acuña,977.076.776
Laura Henríquez Cisneros,920261544
Jennifer Maya Barraza,912 473 610
Pío Escalante Morales,940 785 109
Iván Perea Irizarry,962.524.955
Matilde Lebrón Armas,997-777-494
Ángel Vera Otero,999866423
Jennifer Calvillo Velásquez,935455303
Miguel Alonzo Miramontes,983-258-078
Jorge Mercado Delrío,945037835
Pedro Marroquín Blanco,973-005-798
Sta. Andrea Ortega Colón,964 290 431
Pedro Vanegas Centeno,919341111
Jorge Vega Figueroa,975-822-009
Laura Gutiérrez Holguín,946.558.540
Jennifer Perea Posada,904-944-601
Jorge Santacruz Sarabia,915555540
Ángel Montaño Roybal,998.698.047
Maica Sotelo Huerta,937 162 761
Roser Olivas Marín,971 474 678
Sr. Miguel León Briseño,942.255.148
Sr. Josep Meléndez Zamudio,947-077-853
Jordi Ramírez Sosa,994.366.576
Andrea Ortega Sedillo,977-617-488
Ana Padilla Téllez,986 965 471
Ana Lugo Espino,959.684.620
Josep Alcaraz Caldera,977074280
Maica Trujillo Brito,991.288.948
Laura Torres Barraza,919-810-815
Manuel Lucero Aranda,911-994-494
Daniel Rocha Centeno,907 222 035
Jennifer Calvillo Casares,957.602.267
Marta Alonso Casas,966-784-102
Laura Lerma Muñiz,998.233.427
Marta Galarza Terán,945.356.306
Roser Luevano Palomo,948.473.871
Sergi Casarez Valentín,951 026 650
Lorena Riojas Grijalva,908-380-288
Sr. Juan Ramón Collado Montéz,917835042
Marta Guzmán Villarreal,956.693.235
Miguel Rosas Laboy,987 484 067
Pedro Gaytán Tafoya,988.028.525
Sr. Pablo Peña Galindo,927-052-300
Hermenegildo Guzmán Sotelo,978-493-849
Jordi Salgado Escobar,921484234
Pedro Solano Quiñones,902-126-316
Josep Salazar Gallegos,904.204.608
Ana Reyna Alba,998.366.575
Carles Baca Merino,984 980 192
Carles Roque Cornejo,949335953
Anni Pérez Carrasquillo,964-210-099
Jorge Alva Arevalo,969-768-615
Matilde Duarte Cornejo,943117943
Ángel Leyva Valverde,913-646-752
Lorena Serrato Carbajal,930176282
Ricardo Alcántar Baeza,905181028
Jennifer Arce Zambrano,944431120
Laura Luevano Méndez,932-966-859
Matilde Sarabia Delgado,970 940 743
Laura Saldivar Casares,956287277
Marta Gaona Escobar,931 867 206
Pío Valles Gallegos,926-912-602
Sr. Ricardo Mercado Barajas,943 828 717
Matilde Alva Rivera,947736415
Juan Ramón Segura Mireles,965.522.573
Andrea Ontiveros Cervántez,959 950 449
Sergi Gaitán Vega,983-463-762
Roser Negrete Sisneros,948.807.860
Andrea Villarreal Carrión,968-050-161
Sta. Maica Escobar Lucero,946-226-914
Pío Villagómez Preciado,973600325
Maica Valle Valenzuela,914.846.751
María de los Ángeles Guevara Corral,992 981 421
Sergi Esquivel Moreno,945-901-595
Lorena Barragán Montañez,978 864 100
Daniel Anguiano Paredes,990674991
Ana Durán Atencio,964012931
Ana Crespo Galván,978.413.751
Sergi Barreto Raya,936 969 850
Maica Nava Meraz,945-410-163
Pablo Montenegro Vargas,987.689.697
Ana Alcántar Candelaria,985.908.840
Hermenegildo Esquivel Garay,935-725-597
Ricardo Ordóñez Sierra,957.323.822
Jordi Valdez Juárez,978-547-591
Matilde Ávila Valencia,931410389
Sergi Navarrete Lugo,996643446
Josep Montalvo Rico,954 705 654
Iván Véliz Gálvez,996-283-045
Roser Peralta Barrera,987 350 452
Josep Alcaraz Girón,915.399.814
Daniel Guzmán Espinosa de los Monteros,931-313-427
Jorge Camarillo Pedroza,954.912.138
Juan Ramón Olivárez Castro,996111524
Ricardo Esparza Nazario,975-785-096
Ana Venegas Escobar,967-067-825
Jordi Martínez Tórrez,948-542-539
Sra. Maica Meraz Castillo,970 222 606
Iván Gracia Delagarza,987.167.600
Roser Casares Soria,920 904 230
Roser Juárez Zelaya,936 670 712
Hermenegildo Maestas Vázquez,927 981 958
Jordi Montoya Casarez,960180660
Rubén Esparza Roque,918 672 962
Laura Crespo Delvalle,915.639.795
Laura Berríos Blanco,987.219.401
Anni Ávalos Zúñiga,972724831
Jorge Portillo Rivera,981-103-196
Matilde Loera Montéz,981-445-994
Jorge Narváez Rosales,922-099-020
Sr. Jordi Cortéz Hurtado,914.414.049
Andrea Arroyo Alanis,900.328.553
Sergi Adorno Alvarado,903990818
Roser Sarabia Sevilla,982771893
Maica Zúñiga Espinoza,993 035 268
Sergi Ávalos Rincón,929 626 583
Roser Granados Toledo,964.913.888
Jorge Frías Palacios,991.982.124
Carles Suárez Solano,943 453 093
Juan Ramón Alcalá Robles,999.041.641
Roser Cabrera Garibay,947-462-494
Juan Ramón Longoria Serrato,916.732.005
Manuel Gil Limón,999.618.458
Pablo Cadena Saavedra,943819043
Sr. Iván Salcedo Urías,942.191.439
Sr. Juan Ramón Munguía Ulibarri,944 051 754
Salvador Mejía Mojica,921 747 023
Iván Ozuna Pedraza,999-748-755
Roser Pedroza Delgado,905-056-845
Sra. Lorena Cadena Mojica,990.260.849
Maica Alicea Rentería,912089481
Jorge Delafuente Bañuelos,945.297.982
Roser Argüello Solano,913621839
Carles Bueno Caraballo,942 070 753
Lorena Merino Alcaraz,950294375
María de los Ángeles Leiva Navarrete,934 882 556
Maica Valentín Duarte,935 947 854
Lorena Medrano Maestas,972.902.237
Rubén Rosales Delacrúz,921.008.729
Daniel Zúñiga Tijerina,901.140.204
Miguel Valverde Laureano,933 689 670
Andrea Armijo Gutiérrez,968.750.063
Pío Rivero Valladares,961 481 517
Pablo Nieto Alaníz,918636745
Manuel Valenzuela Heredia,996.361.456
María de los Ángeles Agosto Agosto,964.841.969
Pablo Valles Cortéz,916 976 392
Pablo Villalobos Briones,928 287 439
Lorena Roque Espino,902-112-906
Matilde Palacios Gamboa,944666309
Sr. Daniel Rosario Reynoso,953 542 772
Sr. Salvador Guillén Alfaro,904.320.685
Marta Longoria Angulo,999522787
Pablo Castañeda Gracia,975747175
Miguel Valdez Adame,939 524 742
Iván Saldaña Avilés,999-537-565
Josep Rangel Jurado,915.004.195
Josep Mota Calvillo,936.828.499
Jennifer Nazario Quiñones,945 916 019
Jordi Acosta Jurado,932788995
Sr. Iván Villarreal Álvarez,916 358 269
Matilde Jáquez Dueñas,987 796 750
Lorena Padrón Ballesteros,986 378 888
Pablo Zambrano Toledo,960.794.772
Sta. Jennifer Pineda Mora,957.183.824
Sergi Chávez Roque,994.658.937
Sr. Daniel Guerrero Ontiveros,946.556.336
Marta Zayas Serrato,931992128
Lorena Morales Munguía,901-127-630
Rubén Osorio Roybal,909.282.375
Jordi Cordero Perales,962 805 065
Marta Barela Sepúlveda,913215070
Maica Varela Arroyo,960087021
Lorena Solano Reynoso,968 258 859
Juan Ramón Loera Rael,913.151.558
Sergi Pantoja Córdova,985391584
Daniel Zepeda Negrete,961303850
Salvador Barraza Mireles,959.061.056
Roser Avilés Velásquez,901.331.525
Andrea Torres Solís,915.522.239
Matilde Bahena Salcido,921 218 388
Lorena Suárez Montero,942.586.081
María de los Ángeles Muro Terrazas,972 586 964
Hermenegildo Solano Baca,965 997 355
Anni Barreto Segura,919.314.655
Matilde Lemus León,940997750
Pablo Muñiz Bustos,973-179-070
Sergi Villegas Sepúlveda,918742145
Matilde Benítez Flórez,959937553
Ana Santacruz Valdés,933386762
Carles Suárez Bañuelos,975-824-544
Roser Padilla Baeza,974582147
Manuel Montes Mireles,949 535 512
Laura Angulo Lucio,936.074.572
Maica Ojeda Valdez,980.069.359
Pablo Baca Carmona,952024257
Marta Armenta Barrios,907 778 398
Pío Brito Ochoa,960 980 613
Marta Casarez Soria,965454738
Jorge Cano Segura,986695392
Maica Dueñas Serrano,956-740-605
Roser Valdivia Mejía,964.766.713
Pío Ruelas Viera,933 129 225
María de los Ángeles Canales Caballero,963.206.413
Lorena Carrión Aguayo,900 664 414
Hermenegildo Montaño Feliciano,955797309
Jennifer Galindo Quintanilla,995 522 042
Matilde Espino Miramontes,985.318.002
Jennifer Rodríguez Pérez,920.631.978
Rubén Nazario Alba,984.798.547
Iván Tirado Lira,990031738
Laura Zarate Rodríguez,996740350
Sr. Rubén Beltrán Palomo,964 430 362
Roser Nieves Sanabria,911.960.591
Pablo Guillén Salgado,977.434.082
Sr. Salvador Pedraza Almonte,904777242
Rubén Delapaz Ceja,966157952
Carles Carreón Concepción,986806020
Ana Rael Montoya,933.463.057
Juan Ramón Valverde Roque,912 313 525
Laura Lucio Irizarry,949 930 233
Sra. Maica Negrete Almaráz,911-743-284
María de los Ángeles Porras Abreu,940400187
Rubén Jasso Collado,972-973-570
Manuel Alcaraz Cervántez,943437911
Jennifer Amaya Frías,987 038 685
Andrea Padrón Juárez,964 593 026
Andrea Espinosa de los Monteros Covarrubias,964 338 980
Andrea Vega Casillas,926-985-034
Matilde Alvarado Galván,967738242
Carles Villarreal Quiñónez,919.033.702
Sr. Daniel Cruz Pizarro,993444687
Maica Quiñónez Arroyo,977177962
Jordi Centeno Trejo,947252388
Lorena Chávez Burgos,932 694 504
Anni Frías Estrada,963.066.585
Iván Gracia Rendón,996.203.521
Maica Espinal Olmos,968 714 298
Ana Haro Jáquez,977-077-089
Roser Alva Mendoza,999.257.444
Sr. Salvador Menchaca Alvarado,921 189 756
Carles Arreola Henríquez,954-568-532
Sta. Laura Manzanares Pichardo,993 333 094
Roser Delgadillo Esquivel,933-723-777
Sergi Peña Balderas,945 381 127
María de los Ángeles Serrato Vargas,926-640-900
Pedro Carvajal Paredes,999.970.273
Miguel Ayala Castañeda,998 030 557
Josep de Anda Zelaya,995188232
Roser Nazario Robles,997.424.513
Rubén Brito Garay,923656623
María de los Ángeles Carbajal Sepúlveda,961 256 042
Carles Salazar Mireles,971.308.409
Juan Ramón Rojo Banda,924821297
María de los Ángeles Zavala Vergara,965.324.525
Manuel Meléndez Prado,917-335-681
Roser Saiz Macías,952116604
Sr. Carles Tijerina Gamboa,964-688-707
Marta Valverde Castañeda,904 460 695
Ana Morales Hurtado,903-349-597
Ángel Gómez Sosa,959-099-872
Laura Calvillo Barrera,916 732 182
Ricardo Gómez Vargas,901-067-940
Carles Villa Ferrer,901 739 609
Daniel Espino Cisneros,944-464-163
Sr. Jordi Montemayor Narváez,979.614.129
Jennifer Quezada Godínez,976.105.575
Daniel Corona Olivárez,946497774
Iván Serrano Espinal,925.187.265
Anni Tamez Ozuna,969-262-220
Sra. María de los Ángeles Juárez Quintero,943-708-908
Lorena Barreto Treviño,979179528
Jorge Lira Castro,908-183-683
Lorena Ortega Ávalos,978 229 041
Pablo Pineda Alemán,946221360
Jennifer Casares Cerda,997 733 312
Juan Ramón Maya Espino,912 216 060
Salvador Quiñónez Peña,995-621-545
Laura Barragán Álvarez,987-569-941
Roser Sauceda Razo,924-105-321
Laura Betancourt Leiva,926.979.151
Maica Velasco Véliz,944063150
Sr. Hermenegildo Farías Delao,946.376.875
Matilde Betancourt Pedroza,991875594
Andrea Macías Navarro,939 296 958
Pedro Negrón Nieto,961.949.701
Roser Verduzco Tamez,993.032.718
Lorena Sarabia López,994213710
Sergi Elizondo Mendoza,994788870
Ana Blanco Vallejo,917 012 670
Matilde Gómez Saldivar,983 948 124
Laura Arredondo Corona,912788230
Sergi Garibay Ontiveros,931.865.961
Carles Campos Carrasco,958.005.773
Pío Garza Palacios,902205373
Salvador Limón Lucero,905 382 800
Pablo Fajardo Sánchez,977.467.238
Ángel Escalante Tórrez,996044194
Pedro Tamez Vela,929.374.298
María de los Ángeles Ávalos Barrera,925697268
Laura Ríos Valdivia,971-502-291
Sr. Josep Mata Mota,917937998
María de los Ángeles Mendoza Beltrán,914 515 099
Roser Girón Delatorre,902.552.676
Jennifer Acevedo Guerrero,964-039-886
Roser Alcaraz Pichardo,930084019
Laura Llamas Alicea,902 962 720
Rubén de Anda Barela,988-337-858
Sr. Pío Villaseñor Villaseñor,964.513.469
Rubén Muñiz Pérez,955.073.622
Marta Baca Casillas,901 098 901
Josep Carrero Saavedra,986 112 435
Maica Acevedo Solís,936.533.620
María de los Ángeles Tamayo Covarrubias,991 938 087
Rubén Márquez Ceballos,930 045 630
Carles Portillo Ortega,961613403
Manuel Rubio Véliz,904.352.115
Miguel Negrete Madrid,970-561-998
Salvador Ceballos Segovia,944621242
Pablo Saiz Castillo,904925731
Jennifer Sanabria Carbajal,903-917-814
Marta Valverde Limón,911-050-488
Iván Espinoza Miramontes,901-666-420
Rubén Corona Niño,927893161
Josep Pérez Fonseca,904 670 238
Pablo Gurule Ponce,924899288
Pedro Esparza Fonseca,900 992 920
Maica Fajardo Rael,935 935 272
Jordi Quiñones Rosario,909 014 045
Manuel Hinojosa Huerta,917-510-018
Roser Concepción Abrego,945 869 280
María de los Ángeles Bustos Puente,924301693
Ana Dávila Salcido,917301979
Matilde Bustos Valdivia,994.848.295
Ángel Cavazos Cotto,955938503
Jorge Sáenz Espinosa de los Monteros,954.430.701
María de los Ángeles Hinojosa Ruelas,988.739.560
Rubén Montenegro Armijo,942.164.592
Maica Tapia Echevarría,999 683 428
Miguel Aragón Adame,931 061 777
Ricardo Osorio González,977649085
Matilde Haro Ruelas,993510060
Matilde Solorzano Rangel,938951199
Marta Toledo Ayala,968.788.469
Andrea Montéz Zamora,962 747 772
Matilde Juárez Dueñas,974.707.367
Matilde Aranda Galindo,959.331.456
Sra. Laura Valenzuela Galván,977.023.420
María de los Ángeles Ruíz Sevilla,962.696.328
Pío Alfaro Barraza,912.079.114
Manuel Villagómez Casares,959.155.223
Lorena Frías Argüello,969 025 814
Ángel Gracia Montero,989.114.207
Carles Olivo Deleón,900 394 595
Matilde Núñez Iglesias,917163461
Sr. Jordi Chapa Batista,938-458-297
Roser Zelaya Sotelo,945.684.095
Miguel Iglesias Pacheco,906 339 194
Pablo Chávez Cordero,989382200
Lorena Garica Botello,927.857.905
Matilde Trujillo Heredia,938 574 939
Matilde Carreón Quiñones,991-171-690
Andrea Quintero Trujillo,987-653-101
Anni Palacios Vargas,920 642 203
Maica Polanco Ocampo,971.342.628
Roser Huerta Montañez,982902975
Pío Olivárez Gastélum,913 271 143
Roser Ávalos Casanova,911.952.763
Manuel Ordóñez Ojeda,916 448 999
Roser Rico Tirado,967-134-242
Jorge Cruz Camacho,903476196
Manuel Reyes Zaragoza,972983714
Matilde Saucedo Villaseñor,928680472
María de los Ángeles Armas Carrión,920 538 538
María de los Ángeles Ceballos Serrano,908.378.588
Ángel Terán Vigil,955.425.698
Maica Magaña León,999 502 046
Andrea Villalpando Arroyo,912 524 255
Lorena Rodarte Armas,921 131 194
Lorena Mejía Rosado,924 850 049
Carles Lira Arroyo,984.967.100
Sr. Pío Delrío Collazo,974 810 999
Andrea Bravo Crespo,921 421 358
Manuel Maya Polanco,941 356 038
Manuel Galván Holguín,973046633
Carles Cano Aparicio,918-121-523
María de los Ángeles Acuña Arenas,922.706.449
Sr. Hermenegildo Fonseca Madrid,930-576-573
Sta. Roser Godínez Ceja,934976681
Matilde Robles Tórrez,902-959-984
Jennifer Caraballo Roldán,918.898.417
Jordi Sisneros Páez,945277014
Lorena Almanza Lozada,952.422.936
Sra. Ana Hurtado Benítez,953-328-228
Ana Madrigal Alvarado,926-146-674
Roser Venegas Madera,945039039
Roser Lebrón Caraballo,918801936
Andrea Pérez Juárez,973892033
Ricardo Murillo Ruelas,953053404
Pablo Caldera Urías,950-978-801
Anni Pelayo Camacho,951 121 836
Marta Atencio Toro,970101928
Jorge Oquendo Anguiano,921335549
Josep Palomino Fonseca,953 990 810
Jennifer Cisneros Benavídez,914827164
Roser Muro Pantoja,988-726-572
Jennifer Jaimes Briones,967.806.365
Pío Escobar Mayorga,943.807.864
Sergi Paz Arredondo,986666989
Andrea Barrientos Méndez,955.215.876
Salvador Quiñones Olivas,969067927
Andrea Lemus Benavídez,961 088 569
Carles Jurado Ocampo,961913772
Manuel Lozada Burgos,945-695-650
Sergi Olivera Jaimes,924.756.555
Ricardo Altamirano Raya,949-324-866
Ángel Menéndez Argüello,921 453 850
Laura Olivo Santana,934180106
Andrea Ávalos Delafuente,972 515 092
Anni Garica Almonte,949976628
Sr. Pío Narváez Matías,921 257 172
Lorena Valle Baeza,956.531.929
Marta Sierra Negrón,974068915
Manuel Rivero Jasso,936-300-152
Rubén Mascareñas Luevano,929.256.638
Iván Olivares Morales,944 030 682
Juan Ramón Carrillo Anguiano,972 688 900
Sr. Sergi Pulido Badillo,944 472 600
Miguel Torres Briones,928.911.789
Pablo Ulloa Quintana,967035383
Hermenegildo Zaragoza Saiz,943-289-809
Jennifer Trujillo Estévez,970.276.540
Anni Tello Guerra,968.891.478
Pedro Elizondo Riojas,967 615 342
Juan Ramón Tirado Ruelas,958-063-758
Lorena Lira Santacruz,938301888
Marta Cervántez Escalante,969 198 109
Pedro Colón Padrón,912 044 663
Pedro Henríquez Mojica,928.858.320
Hermenegildo Roybal Cervántez,984141025
Miguel Balderas Llamas,992 953 524
Maica Delafuente Casarez,944-587-786
Anni Ramos Arreola,974-515-920
Daniel Valdés Noriega,957.629.300
Matilde Meraz Yáñez,912.888.491
Ana Marrero Rubio,953 515 231
Rubén Garza Montéz,992 151 954
María de los Ángeles Raya Rosado,947 677 202
Laura Ulloa Yáñez,984.984.043
Manuel Treviño Abeyta,901303386
Jorge Vera Narváez,939857074
Maica Roybal Solorzano,911 868 967
Matilde Adorno Jaimes,910 964 925
Maica Montéz Solís,940166136
Juan Ramón Rivera Chávez,990430484
Marta Reyna Mesa,965166071
Sr. Jordi Blanco Pérez,968 415 006
Laura Solorio Heredia,910 521 900
Lorena Sandoval Solano,901-648-109
Matilde Collazo Orosco,971-588-781
Laura Munguía Elizondo,917 455 496
Lorena Olivares Cotto,946.112.051
Ángel Abrego Maldonado,933821129
Iván Pulido Vergara,904.653.376
Miguel González Solorio,984-072-394
Josep Casas Hernández,971 036 459
Miguel Mojica Lozada,904.390.186
Hermenegildo Beltrán Campos,971620899
Jennifer Leal Quiñónez,936461746
Laura Pedroza Saldivar,908-004-714
Pío Terrazas Arroyo,936-290-265
Pedro Cavazos Villagómez,998-906-831
Andrea González Ortiz,961.206.069
Laura Meraz Quiñones,973.942.200
Salvador Ibarra Delao,989.326.573
María de los Ángeles Jurado Aponte,930223588
Iván Barreto Rodríguez,934054805
Carles Barrientos Ulibarri,910 225 151
Pío Vanegas Villalobos,901.859.844
Ana Montaño Castillo,954 638 707
Josep Ulibarri Tirado,915 312 437
Pío Zúñiga Enríquez,955102900
Jennifer Menchaca García,915.337.928
Roser Trejo Delafuente,928-667-944
María de los Ángeles Ontiveros Vélez,942-328-491
Jennifer Téllez Vallejo,974.397.106
Laura Pulido Posada,973-891-356
Ana Hidalgo Espinoza,906 801 636
Miguel Pantoja Amador,940-681-800
Sr. Sergi Escamilla Bueno,930402092
Anni Aguilera Ulibarri,902.674.537
Laura Figueroa Marín,956.354.087
Sr. Ricardo Otero Manzanares,960.992.367
María de los Ángeles Ulibarri Ávalos,932.492.394
Ana Angulo Valdés,934619251
Miguel Toro Leiva,924-104-368
Ángel Narváez Candelaria,950 345 964
Maica González Olivares,950200406
Sr. Ricardo Olivera Segura,927-789-914
Marta Mora Verdugo,947221729
Iván Leyva Delarosa,933.122.722
Sergi Brito Solís,909.344.124
Marta Bustamante Mayorga,993 602 983
María de los Ángeles Lira Sotelo,931-215-195
Manuel Mondragón Gallegos,970-780-755
Pedro Ledesma Guajardo,912 131 378
Matilde Esquibel Alejandro,997.681.506
María de los Ángeles León Tafoya,936-955-599
Rubén Urbina Gámez,961106360
Iván Ceja González,932-559-527
Laura Alfaro Quiñones,963 254 372
Jorge Monroy Griego,902 456 016
Sergi Valdés Ornelas,937 925 647
Maica Vaca Gálvez,931.840.019
María de los Ángeles Godínez Solís,997-032-804
Matilde Briones Ocampo,938-343-037
Matilde Henríquez Carvajal,923-085-886
Rubén Castellanos León,977 564 931
Jennifer Balderas Villarreal,925650177
Andrea Zapata Espinoza,981.977.480
Anni Ortega Velásquez,933310014
Sra. Roser Negrón Valladares,907 843 605
Anni Estrada Páez,904 545 235
Ángel Rolón Maldonado,922791452
Carles Abeyta Soto,931 743 375
Ricardo Maya Garrido,976748641
Laura Almaráz Loya,967.799.301
Pablo Olivo Bonilla,950394364
Jordi Delapaz Laureano,941 417 638
Laura Iglesias Montero,986.406.894
María de los Ángeles Betancourt Galarza,900076638
Ricardo Salgado Alaníz,993-003-021
Miguel Agosto Roque,922.454.661
Roser Malave Reséndez,943.781.778
Pedro Delatorre Pichardo,986 112 669
Pedro Marín Badillo,998-357-042
María de los Ángeles Lovato Osorio,968.822.653
